current,action,reward,next
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 239.0, 'next_next_pipe_dist_to_player': 383.0, 'player_y': 179.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 235.0, 'next_next_pipe_dist_to_player': 379.0, 'player_y': 171.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 235.0, 'next_next_pipe_dist_to_player': 379.0, 'player_y': 171.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -7.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 231.0, 'next_next_pipe_dist_to_player': 375.0, 'player_y': 164.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -7.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 231.0, 'next_next_pipe_dist_to_player': 375.0, 'player_y': 164.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -6.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 227.0, 'next_next_pipe_dist_to_player': 371.0, 'player_y': 158.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -6.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 227.0, 'next_next_pipe_dist_to_player': 371.0, 'player_y': 158.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 223.0, 'next_next_pipe_dist_to_player': 367.0, 'player_y': 150.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 223.0, 'next_next_pipe_dist_to_player': 367.0, 'player_y': 150.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 219.0, 'next_next_pipe_dist_to_player': 363.0, 'player_y': 150.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': 0.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 219.0, 'next_next_pipe_dist_to_player': 363.0, 'player_y': 150.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 215.0, 'next_next_pipe_dist_to_player': 359.0, 'player_y': 142.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 215.0, 'next_next_pipe_dist_to_player': 359.0, 'player_y': 142.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 211.0, 'next_next_pipe_dist_to_player': 355.0, 'player_y': 134.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 211.0, 'next_next_pipe_dist_to_player': 355.0, 'player_y': 134.0}",119,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 207.0, 'next_next_pipe_dist_to_player': 351.0, 'player_y': 126.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 207.0, 'next_next_pipe_dist_to_player': 351.0, 'player_y': 126.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 203.0, 'next_next_pipe_dist_to_player': 347.0, 'player_y': 118.0}"
"{'next_next_pipe_top_y': 153, 'player_vel': -8.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 203.0, 'next_next_pipe_dist_to_player': 347.0, 'player_y': 118.0}",,0.0,"{'next_next_pipe_top_y': 153, 'player_vel': -7.0, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53, 'next_next_pipe_bottom_y': 253, 'next_pipe_dist_to_player': 199.0, 'next_next_pipe_dist_to_player': 343.0, 'player_y': 111.0}"
